sex,mu.education.L,mu.education.M,mu.education.H,mu.age.1,mu.age.2,sigma.education.L,sigma.education.M,sigma.education.H,sigma.age.1,sigma.age.2,nu,tau
M,17.91672818696244,17.619993278455333,17.067136193903323,0.2594518355250481,-0.0021373730930689303,2.2020236579461288,1.9064506411387756,1.6591200251662013,0.03524766639343338,-3.326919378131718e-4,0.2625971277468282,0.7680483159970074
F,18.917786999155155,18.21088065554319,17.532837692392143,0.1571674223519886,-0.0011741703386391794,2.710286161864069,2.3808043071937712,1.9429503402830788,0.03489515670680378,-2.925972314860613e-4,0.4436438070622592,0.830246698992645
